iter	Passed	Remaining
0	0	94
1	2	102
2	2	93
3	3	85
4	4	85
5	5	83
6	6	80
7	6	78
8	7	76
9	8	75
10	9	73
11	9	71
12	10	70
13	11	68
14	11	66
15	12	64
16	12	63
17	13	61
18	14	59
19	14	58
20	14	56
21	15	54
22	16	53
23	16	52
24	17	51
25	17	50
26	18	49
27	18	48
28	19	47
29	20	47
30	20	46
31	21	45
32	21	44
33	22	43
34	23	43
35	23	42
36	24	41
37	25	41
38	25	40
39	26	40
40	27	39
41	27	38
42	28	37
43	28	36
44	29	36
45	30	35
46	30	34
47	31	34
48	32	33
49	33	33
50	33	32
51	34	31
52	35	31
53	36	30
54	36	30
55	37	29
56	38	29
57	40	28
58	41	28
59	41	27
60	42	27
61	43	26
62	44	26
63	45	25
64	45	24
65	46	23
66	47	23
67	47	22
68	48	21
69	49	21
70	49	20
71	50	19
72	50	18
73	51	18
74	52	17
75	52	16
76	53	15
77	54	15
78	54	14
79	55	13
80	55	13
81	56	12
82	57	11
83	58	11
84	58	10
85	59	9
86	59	8
87	60	8
88	61	7
89	61	6
90	62	6
91	63	5
92	63	4
93	64	4
94	65	3
95	66	2
96	66	2
97	67	1
98	68	0
99	68	0
